ticker_1,ticker_2,sector,eg_pvalue,eg_direction,eg_significant,beta,jo_trace_stat,jo_trace_cv,jo_significant,both_significant,half_life_days,hl_tradeable
LUPIN.NS,ZYDUSLIFE.NS,pharma,0.681549,LUPIN.NS~ZYDUSLIFE.NS,False,0.509129,4.2357,15.4943,False,False,133.33,False
LUPIN.NS,SANOFI.NS,pharma,0.122259,SANOFI.NS~LUPIN.NS,False,1.783861,8.6828,15.4943,False,False,60.42,True
LUPIN.NS,LAURUSLABS.NS,pharma,0.780351,LAURUSLABS.NS~LUPIN.NS,False,0.850029,6.0425,15.4943,False,False,522.62,False
LUPIN.NS,GRANULES.NS,pharma,0.598651,GRANULES.NS~LUPIN.NS,False,0.993399,3.7435,15.4943,False,False,193.46,False
LUPIN.NS,NATCOPHARM.NS,pharma,0.452596,NATCOPHARM.NS~LUPIN.NS,False,1.394871,11.8914,15.4943,False,False,70.42,True
LUPIN.NS,GLENMARK.NS,pharma,0.363321,GLENMARK.NS~LUPIN.NS,False,0.945939,8.7901,15.4943,False,False,65.36,True
AUROPHARMA.NS,DIVISLAB.NS,pharma,0.440582,DIVISLAB.NS~AUROPHARMA.NS,False,1.806703,6.9328,15.4943,False,False,203.45,False
AUROPHARMA.NS,TORNTPHARM.NS,pharma,0.501287,AUROPHARMA.NS~TORNTPHARM.NS,False,0.423161,5.8951,15.4943,False,False,138.97,False
AUROPHARMA.NS,ALKEM.NS,pharma,0.44134,AUROPHARMA.NS~ALKEM.NS,False,0.445345,6.3825,15.4943,False,False,130.99,False
AUROPHARMA.NS,IPCALAB.NS,pharma,0.217267,IPCALAB.NS~AUROPHARMA.NS,False,1.825234,8.8278,15.4943,False,False,111.18,True
AUROPHARMA.NS,BIOCON.NS,pharma,0.817186,BIOCON.NS~AUROPHARMA.NS,False,3.30271,3.2751,15.4943,False,False,190.11,False
AUROPHARMA.NS,ABBOTINDIA.NS,pharma,0.150841,ABBOTINDIA.NS~AUROPHARMA.NS,False,3.420517,12.7701,15.4943,False,False,169.4,False
AUROPHARMA.NS,GLAXO.NS,pharma,0.312596,GLAXO.NS~AUROPHARMA.NS,False,3.719125,8.188,15.4943,False,False,91.42,True
AUROPHARMA.NS,PFIZER.NS,pharma,0.355294,PFIZER.NS~AUROPHARMA.NS,False,3.826155,7.2621,15.4943,False,False,117.07,True
AUROPHARMA.NS,ZYDUSLIFE.NS,pharma,0.388809,AUROPHARMA.NS~ZYDUSLIFE.NS,False,0.537657,8.6552,15.4943,False,False,105.27,True
AUROPHARMA.NS,SANOFI.NS,pharma,0.047343,SANOFI.NS~AUROPHARMA.NS,True,2.273433,12.9206,15.4943,False,False,58.23,True
AUROPHARMA.NS,LAURUSLABS.NS,pharma,0.552635,LAURUSLABS.NS~AUROPHARMA.NS,False,0.918125,14.0911,15.4943,False,False,329.41,False
AUROPHARMA.NS,GRANULES.NS,pharma,0.324235,GRANULES.NS~AUROPHARMA.NS,False,1.199724,7.0688,15.4943,False,False,153.28,False
AUROPHARMA.NS,NATCOPHARM.NS,pharma,0.127371,NATCOPHARM.NS~AUROPHARMA.NS,False,1.609614,13.9667,15.4943,False,False,54.47,True
AUROPHARMA.NS,GLENMARK.NS,pharma,0.694624,AUROPHARMA.NS~GLENMARK.NS,False,0.718834,5.8281,15.4943,False,False,77.21,True
DIVISLAB.NS,TORNTPHARM.NS,pharma,0.928696,DIVISLAB.NS~TORNTPHARM.NS,False,0.868671,3.3037,15.4943,False,False,285.72,False
DIVISLAB.NS,ALKEM.NS,pharma,0.870987,DIVISLAB.NS~ALKEM.NS,False,1.032934,4.494,15.4943,False,False,173.58,False
DIVISLAB.NS,IPCALAB.NS,pharma,0.465529,DIVISLAB.NS~IPCALAB.NS,False,1.107521,12.5111,15.4943,False,False,66.03,True
DIVISLAB.NS,BIOCON.NS,pharma,0.633397,DIVISLAB.NS~BIOCON.NS,False,0.631596,7.5317,15.4943,False,False,249.0,False
DIVISLAB.NS,ABBOTINDIA.NS,pharma,0.741697,ABBOTINDIA.NS~DIVISLAB.NS,False,1.456007,8.3281,15.4943,False,False,194.24,False
DIVISLAB.NS,GLAXO.NS,pharma,0.650979,GLAXO.NS~DIVISLAB.NS,False,4.175931,6.3399,15.4943,False,False,130.76,False
DIVISLAB.NS,PFIZER.NS,pharma,0.255925,PFIZER.NS~DIVISLAB.NS,False,2.417509,13.6821,15.4943,False,False,61.81,True
DIVISLAB.NS,ZYDUSLIFE.NS,pharma,0.839232,DIVISLAB.NS~ZYDUSLIFE.NS,False,0.760393,5.7333,15.4943,False,False,312.76,False
DIVISLAB.NS,SANOFI.NS,pharma,0.802904,SANOFI.NS~DIVISLAB.NS,False,2.824207,8.2172,15.4943,False,False,129.8,False
DIVISLAB.NS,LAURUSLABS.NS,pharma,0.03323,LAURUSLABS.NS~DIVISLAB.NS,True,0.457586,17.7641,15.4943,True,True,40.45,True
DIVISLAB.NS,GRANULES.NS,pharma,0.433798,DIVISLAB.NS~GRANULES.NS,False,0.695053,10.6424,15.4943,False,False,84.86,True
DIVISLAB.NS,NATCOPHARM.NS,pharma,0.566011,DIVISLAB.NS~NATCOPHARM.NS,False,1.173769,12.2982,15.4943,False,False,110.41,True
DIVISLAB.NS,GLENMARK.NS,pharma,0.345773,DIVISLAB.NS~GLENMARK.NS,False,0.537131,7.2324,15.4943,False,False,179.41,False
TORNTPHARM.NS,ALKEM.NS,pharma,0.005622,ALKEM.NS~TORNTPHARM.NS,True,1.137368,16.6605,15.4943,True,True,26.4,True
TORNTPHARM.NS,IPCALAB.NS,pharma,0.578244,IPCALAB.NS~TORNTPHARM.NS,False,1.406105,5.7517,15.4943,False,False,115.67,True
TORNTPHARM.NS,BIOCON.NS,pharma,0.698494,BIOCON.NS~TORNTPHARM.NS,False,-25.941431,3.1731,15.4943,False,False,156.73,False
TORNTPHARM.NS,ABBOTINDIA.NS,pharma,0.021659,ABBOTINDIA.NS~TORNTPHARM.NS,True,1.019755,23.6146,15.4943,True,True,30.92,True
TORNTPHARM.NS,GLAXO.NS,pharma,0.137185,GLAXO.NS~TORNTPHARM.NS,False,2.815413,7.7393,15.4943,False,False,57.58,True
TORNTPHARM.NS,PFIZER.NS,pharma,0.623611,PFIZER.NS~TORNTPHARM.NS,False,3.332716,4.3763,15.4943,False,False,141.33,False
TORNTPHARM.NS,ZYDUSLIFE.NS,pharma,0.204894,TORNTPHARM.NS~ZYDUSLIFE.NS,False,0.790235,9.0727,15.4943,False,False,70.39,True
TORNTPHARM.NS,SANOFI.NS,pharma,0.229573,SANOFI.NS~TORNTPHARM.NS,False,2.298392,7.2502,15.4943,False,False,70.36,True
TORNTPHARM.NS,LAURUSLABS.NS,pharma,0.960868,LAURUSLABS.NS~TORNTPHARM.NS,False,0.507125,3.0256,15.4943,False,False,507.48,False
TORNTPHARM.NS,GRANULES.NS,pharma,0.577136,GRANULES.NS~TORNTPHARM.NS,False,0.790189,5.5859,15.4943,False,False,95.39,True
TORNTPHARM.NS,NATCOPHARM.NS,pharma,0.637973,NATCOPHARM.NS~TORNTPHARM.NS,False,2.538724,5.0715,15.4943,False,False,132.63,False
TORNTPHARM.NS,GLENMARK.NS,pharma,0.253949,GLENMARK.NS~TORNTPHARM.NS,False,1.476395,14.5007,15.4943,False,False,92.12,True
ALKEM.NS,IPCALAB.NS,pharma,0.590407,IPCALAB.NS~ALKEM.NS,False,1.19943,6.5317,15.4943,False,False,91.84,True
ALKEM.NS,BIOCON.NS,pharma,0.726555,BIOCON.NS~ALKEM.NS,False,73.283239,4.6539,15.4943,False,False,164.98,False
ALKEM.NS,ABBOTINDIA.NS,pharma,0.032445,ABBOTINDIA.NS~ALKEM.NS,True,0.950685,14.4626,15.4943,False,False,42.24,True
ALKEM.NS,GLAXO.NS,pharma,0.05069,GLAXO.NS~ALKEM.NS,False,2.488165,9.466,15.4943,False,False,51.81,True
ALKEM.NS,PFIZER.NS,pharma,0.70058,PFIZER.NS~ALKEM.NS,False,2.614814,5.1783,15.4943,False,False,130.52,False
ALKEM.NS,ZYDUSLIFE.NS,pharma,0.047351,ALKEM.NS~ZYDUSLIFE.NS,True,0.708584,10.6779,15.4943,False,False,66.38,True
ALKEM.NS,SANOFI.NS,pharma,0.224423,SANOFI.NS~ALKEM.NS,False,2.033624,8.4365,15.4943,False,False,65.35,True
ALKEM.NS,LAURUSLABS.NS,pharma,0.937025,LAURUSLABS.NS~ALKEM.NS,False,0.44117,3.4331,15.4943,False,False,333.02,False
ALKEM.NS,GRANULES.NS,pharma,0.632247,GRANULES.NS~ALKEM.NS,False,0.725854,5.8475,15.4943,False,False,91.42,True
ALKEM.NS,NATCOPHARM.NS,pharma,0.608065,NATCOPHARM.NS~ALKEM.NS,False,2.020448,5.8024,15.4943,False,False,116.31,True
ALKEM.NS,GLENMARK.NS,pharma,0.066722,ALKEM.NS~GLENMARK.NS,False,0.565755,12.2589,15.4943,False,False,97.64,True
IPCALAB.NS,BIOCON.NS,pharma,0.651583,BIOCON.NS~IPCALAB.NS,False,2.638817,5.915,15.4943,False,False,133.36,False
IPCALAB.NS,ABBOTINDIA.NS,pharma,0.612711,ABBOTINDIA.NS~IPCALAB.NS,False,1.191451,10.8734,15.4943,False,False,126.31,False
IPCALAB.NS,GLAXO.NS,pharma,0.375124,IPCALAB.NS~GLAXO.NS,False,1.231778,9.1682,15.4943,False,False,96.52,True
IPCALAB.NS,PFIZER.NS,pharma,0.074949,PFIZER.NS~IPCALAB.NS,False,1.833805,13.2517,15.4943,False,False,40.18,True
IPCALAB.NS,ZYDUSLIFE.NS,pharma,0.344079,IPCALAB.NS~ZYDUSLIFE.NS,False,0.6281,7.425,15.4943,False,False,102.53,True
IPCALAB.NS,SANOFI.NS,pharma,0.226131,SANOFI.NS~IPCALAB.NS,False,2.048217,18.2151,15.4943,True,False,61.01,True
IPCALAB.NS,LAURUSLABS.NS,pharma,0.664742,IPCALAB.NS~LAURUSLABS.NS,False,0.309155,17.0287,15.4943,True,False,95.88,True
IPCALAB.NS,GRANULES.NS,pharma,0.094939,IPCALAB.NS~GRANULES.NS,False,0.590472,15.8466,15.4943,True,False,33.24,True
